Scan,Type,BCID,sigma,sigmaErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,3028,0.015392357430279117,1.2016422304821565e-05,-0.001322548853708176,2.1254718101376865e-05,0.02176808063479501,1.6993787394681223e-05,0.1290106258210873,0.00012938296378395096,0.007039398538537833,8.946500489455027e-06,0,135.62580560778557,4
1,X,3029,0.015567829324669784,1.3381237776623338e-05,-0.0012852820953343877,2.582741449504785e-05,0.02201623536765759,1.8923927945039925e-05,0.12708615188811986,0.00022890451809271282,0.00701344221806549,1.3997135201394983e-05,0,33.0235348200842,4
1,X,3061,0.014961762857569283,1.6304420999931316e-05,-0.0008231660699842301,2.1940823470428073e-05,0.021159127950184514,2.3057933304743567e-05,0.14033443784295543,0.00024569817262708686,0.007443067511291155,1.5349417724515634e-05,0,90.96698551414711,4
1,X,3062,0.015021980581555756,1.315042924617684e-05,-0.0009329398225157024,2.254459120471398e-05,0.021244288672141426,1.8597515390971083e-05,0.14101582505603835,0.0001964707042813536,0.007509309095581923,1.2356180990691416e-05,0,41.75975317167575,4
1,X,3063,0.01500795734804375,1.286407569310008e-05,-0.0008795821452119724,2.2819981463607268e-05,0.021224456825120423,1.8192550312576207e-05,0.14296005548817126,0.00019934313616658305,0.007605735652717279,1.2448921036255727e-05,0,33.974549687221845,4
1,X,3064,0.01499467432173717,1.1711831646065765e-05,-0.0009992628053442669,2.2878740735779982e-05,0.021205671789168296,1.6563031154096617e-05,0.14255506099562168,0.00019779131878177615,0.00757747670243468,1.206496578210521e-05,0,23.891376575370593,4
1,X,3065,0.015053794746201525,1.3330087005742334e-05,-0.001043331727148954,2.7760220934874337e-05,0.021289280695259042,1.885158983113417e-05,0.1407929087791964,0.0002295614244881113,0.007513316843444676,1.3940396228630835e-05,0,21.608499017786045,4
1,X,3066,0.014990670454001606,1.2547065991235543e-05,-0.0010114358127829538,2.4210709291296287e-05,0.021200009465114716,1.7744230892795526e-05,0.14037223435095592,0.0001610313398601396,0.007459456776266222,1.0592855671147818e-05,0,13.43607065148156,4
1,X,3067,0.015024470672442386,1.096521200602415e-05,-0.0010422118189168193,2.0985067489116e-05,0.02124781019244484,1.5507151533215645e-05,0.14227028599207034,0.00012661760048229576,0.007577366905665029,8.721234638059934e-06,0,25.902140061898304,4
1,X,3068,0.015148236977641626,1.3354617494959168e-05,-0.0010351594637260304,2.627545335248792e-05,0.02142284217982241,1.8886281181676265e-05,0.1381608318578942,0.0002062849124499937,0.0074191125927950624,1.2864178231752373e-05,0,17.656213835803246,4
1,X,3069,0.015234459233134214,1.3431843002367525e-05,-0.0010580222583375953,2.78419621603306e-05,0.021544778862918428,1.8995494541614308e-05,0.13569521422976003,0.0002501249421961878,0.00732818637421621,1.497363901256958e-05,0,18.092147356800385,4
1,X,3070,0.015205427916302446,1.1792874898480386e-05,-0.0011211020416430116,1.748570916684439e-05,0.02150372238092139,1.66776436208002e-05,0.13555408916261982,0.0001785712388432413,0.007306614626102121,1.1169569194311004e-05,0,16.401582233909853,4
1,X,3071,0.01523796262198939,9.96295693335829e-06,-0.0011449718221768095,1.970563498199369e-05,0.021549733402951684,1.4089748816494356e-05,0.1363149560863261,0.00017865666407279428,0.007363348300760462,1.0784736684633252e-05,0,33.07889851294979,4
1,X,3072,0.015311061341647081,1.1436998896980495e-05,-0.0011603665656564094,1.8338635283329004e-05,0.0216531106036837,1.6174358952955946e-05,0.1330788125200304,0.00014287605705189544,0.007223025455220105,9.447079763759424e-06,0,10.859656305156651,4
1,X,3073,0.015417622351444936,1.287175765210438e-05,-0.0011673278805347136,2.212751895393995e-05,0.02180381062896,1.820341424318568e-05,0.13010513561528242,0.00016277013980059044,0.0071107723552296335,1.069498863261991e-05,0,10.400348806241679,4
1,X,3074,0.015352910092110313,1.848283636114434e-05,-0.0011699010566572337,3.227601424267733e-05,0.02171229367415717,2.613867785305291e-05,0.1309564048130091,0.00016851482142905537,0.007127256396466049,1.2559245781803585e-05,0,9.288482750905278,4
1,X,3075,0.0154127108718308,1.5440404295281123e-05,-0.0011030571507390382,2.542417421965815e-05,0.02179686474787837,2.1836029162910357e-05,0.13066789315068916,0.0001512290980722077,0.007139254307740618,1.0928112965038553e-05,0,8.69529494025349,4
1,X,3076,0.015464396891248984,9.552198547228642e-06,-0.001115497731557692,2.2461666548036967e-05,0.021869959817524643,1.3508848735971322e-05,0.12817306770626552,0.00020372306002275473,0.007026429581753665,1.1981765593664083e-05,0,6.541546426351757,4
1,X,3077,0.015495115562394692,1.2280822050824412e-05,-0.0011958395466976184,2.2454440702304916e-05,0.021913402578876983,1.7367705101366452e-05,0.12709793463569827,0.00021283374812912083,0.0069813312487543655,1.2933979354761784e-05,0,14.391787637557277,4
1,X,3078,0.015532690168420848,1.1586010006922027e-05,-0.0011274707064200678,2.30776959716473e-05,0.02196654109632,1.6385092485579528e-05,0.12596487450014648,0.00019255611652283145,0.006935872000370513,1.1797411462508153e-05,0,13.929537652842289,4
1,X,3079,0.01549529736634683,1.4913661259487609e-05,-0.001128256554218603,2.48404226571317e-05,0.02191365968849179,2.1091102017805592e-05,0.12710524747595034,0.0002004674581233938,0.006981814850526189,1.2899974348968625e-05,0,28.511258920343117,4
1,X,3080,0.01562239921052115,1.7447631573206867e-05,-0.0010784412391947403,3.1141061730794825e-05,0.022093408840325745,2.467467720211817e-05,0.12453170036973771,0.0002611030438519928,0.00689656099393891,1.6383336474235846e-05,0,8.99860170318908,4
1,X,3081,0.015572604535017815,1.4427062941049504e-05,-0.0011058759455095995,2.253463131557521e-05,0.022022988534894962,2.0402948076442483e-05,0.12407809521429573,0.00017782566347422762,0.006849538398352793,1.168901390062868e-05,0,21.51460188337229,4
1,X,3082,0.015543088098554059,1.7739201199377347e-05,-0.0010078098012740746,2.9817682952248613e-05,0.021981245990134995,2.5087018921824518e-05,0.12478051073971409,0.0002141621232803132,0.006875257991167003,1.4170821803628339e-05,0,9.816198840556845,4
1,X,3083,0.015534870347828014,1.4893753861965382e-05,-0.0009012836921282613,2.5485858434622835e-05,0.02196962433560602,2.1062948706238107e-05,0.12618457030458216,0.00018113752045705026,0.00694894410226964,1.1995364273338952e-05,0,31.761561224658518,4
1,X,3084,0.015631590434886388,1.4550033902198456e-05,-0.0009295686480546161,2.3836643753171945e-05,0.022106407194477876,2.0576855277477385e-05,0.12427618071127347,0.00017935202686763713,0.006886459496379974,1.1826187923651002e-05,0,13.568037791857266,4
1,X,3085,0.015371478869447773,1.5173320654379807e-05,-0.00092960784619621,2.0810062372493132e-05,0.021738553890904493,2.145831585565973e-05,0.12868170701839485,0.00020192916459719693,0.007011927189011258,1.299916911131227e-05,0,49.238175175095165,4
1,X,3086,0.01544680116908231,1.4931751066372273e-05,-0.0009808061515459712,2.4498337740158914e-05,0.021845075708596784,2.1116684868042593e-05,0.12692626938696805,0.00016778162924453802,0.006950163220047883,1.1381724634867153e-05,0,16.641773412397427,4
1,X,3087,0.015511468463844819,1.6884576555469606e-05,-0.0009959164550671566,2.658231207953595e-05,0.021936529073891903,2.3878397159671918e-05,0.12742459330641256,0.00021621955122784578,0.007006660945995165,1.4125256709453278e-05,0,13.798512147415819,4
1,X,3088,0.015498702720493883,1.510996662306993e-05,-0.0010803153839290514,2.768668079585534e-05,0.021918475586511235,2.136871972535029e-05,0.12703922451532332,0.00021305789019967448,0.006979721824085793,1.3539833817172258e-05,0,13.758838099937389,4
1,X,3089,0.015548076746231527,1.4569278014248224e-05,-0.0011057064769434963,2.7475776419696714e-05,0.02198830100333837,2.0604070561733995e-05,0.12629767662460042,0.0002460194070601957,0.006961085515552773,1.5047058712420529e-05,0,25.029016682590544,4
